code,name,ipo_time,sum_share,fluent_share,industry,city,board
000001,平安银行,1991-04-03,194.05918198,194.05513424,金融业,深圳,主板
000002,万  科Ａ,1991-01-29,97.24196533,97.16935865,房地产,深圳,主板
000004,国华网安,1990-12-01,1.32380282,1.26288093,信息技术,深圳,主板
000005,ST星源,1990-12-10,10.58536842,10.57875742,公共环保,深圳,主板
000006,深振业Ａ,1992-04-27,13.49995046,13.49987396,房地产,深圳,主板
000007,*ST全新,1992-04-13,3.46448044,3.08948044,房地产,深圳,主板
000008,神州高铁,1992-05-07,27.16377683,26.86024366,制造业,深圳,主板
000009,中国宝安,1991-06-25,25.79213965,25.51430324,金融业,深圳,主板
000010,美丽生态,1995-10-27,11.49652292,5.22171498,建筑业,深圳,主板
000011,深物业A,1992-03-30,5.28373849,5.26475543,房地产,深圳,主板
000012,南  玻Ａ,1992-02-28,19.61323047,19.59279645,制造业,深圳,主板
000014,沙河股份,1992-06-02,2.42046224,2.42046224,房地产,深圳,主板
000016,深康佳Ａ,1992-03-27,15.965938,15.965938,制造业,深圳,主板
000017,深中华A,1992-03-31,4.40821951,3.02984965,制造业,深圳,主板
000019,深粮控股,1992-10-12,11.00785974,4.16216407,批发零售,深圳,主板
000020,深华发Ａ,1992-04-28,1.81165391,1.81165391,制造业,深圳,主板
000021,深科技,1994-02-02,15.60587588,15.60123713,制造业,深圳,主板
000023,ST深天,1993-04-29,1.3875624,1.3875624,制造业,深圳,主板
000025,特  力Ａ,1993-06-21,3.9277832,3.9277832,批发零售,深圳,主板
000026,飞亚达,1993-06-03,3.65283273,3.62707353,批发零售,深圳,主板
000027,深圳能源,1993-09-03,47.57389916,47.57269916,水电煤气,深圳,主板
000028,国药一致,1993-08-09,4.85213797,4.78053712,批发零售,深圳,主板
000029,深深房Ａ,1993-09-15,8.9166,8.916505,房地产,深圳,主板
000030,富奥股份,1993-09-29,16.9382417,16.92261961,制造业,深圳,主板
000031,大悦城,1993-10-08,42.86313339,40.0288429,房地产,深圳,主板
000032,深桑达Ａ,1993-10-28,11.37959234,6.44763811,建筑业,深圳,主板
000034,神州数码,1994-05-09,6.6958148,5.50825376,批发零售,深圳,主板
000035,中国天楹,1994-04-08,25.23777297,24.49868176,公共环保,深圳,主板
000036,华联控股,1994-06-17,14.83934025,14.80132047,房地产,深圳,主板
000037,深南电A,1994-07-01,3.3890815,3.38874456,水电煤气,深圳,主板
000039,中集集团,1994-04-08,23.0268249,23.01407141,制造业,深圳,主板
000040,东旭蓝天,1994-08-08,14.8687387,10.6034067,水电煤气,深圳,主板
000042,中洲控股,1994-09-21,6.64831139,6.64004077,房地产,深圳,主板
000045,深纺织Ａ,1994-08-15,4.57021849,4.57021849,制造业,深圳,主板
000048,京基智农,1994-11-01,5.3056925,5.2323925,农林牧渔,深圳,主板
000049,德赛电池,1995-03-20,3.84638534,3.84497163,制造业,深圳,主板
000050,深天马Ａ,1995-03-15,24.57747661,23.75794164,制造业,深圳,主板
000055,方大集团,1996-04-15,6.79715472,6.75854429,制造业,深圳,主板
000056,皇庭国际,1996-07-08,9.66853708,9.03728783,商务服务,深圳,主板
000058,深 赛 格,1996-12-26,9.84739354,9.84691604,商务服务,深圳,主板
000059,华锦股份,1997-01-30,15.99442537,15.99382537,制造业,深圳,主板
000060,中金岭南,1997-01-23,37.37589731,37.37314106,制造业,深圳,主板
000061,农 产 品,1997-01-10,16.96964131,16.96932506,商务服务,深圳,主板
000062,深圳华强,1997-01-30,10.45909322,10.44547851,批发零售,深圳,主板
000063,中兴通讯,1997-11-18,40.27749018,40.27090375,制造业,深圳,主板
000065,北方国际,1998-06-05,10.02000852,9.05577266,批发零售,深圳,主板
000066,中国长城,1997-06-26,32.25799088,31.46793277,制造业,深圳,主板
000068,华控赛格,1997-06-11,10.06671464,10.06671464,科研服务,深圳,主板
000069,华侨城Ａ,1997-09-10,82.01793915,70.59646363,房地产,深圳,主板
000070,特发信息,2000-05-11,9.0034476,8.88596176,制造业,深圳,主板
000078,海王生物,1998-12-18,27.50833257,26.26448638,批发零售,深圳,主板
000088,盐 田 港,1997-07-28,42.85724351,22.49135473,运输仓储,深圳,主板
000089,深圳机场,1998-04-20,20.50769509,20.50742403,运输仓储,深圳,主板
000090,天健集团,1999-07-21,18.68545434,18.68459934,建筑业,深圳,主板
000096,广聚能源,2000-07-24,5.28,5.10848,批发零售,深圳,主板
000099,中信海直,2000-07-31,7.75770137,7.10215136,运输仓储,深圳,主板
000100,TCL科技,2004-01-30,187.79080767,180.98916551,制造业,深圳,主板
000151,中成股份,2000-09-06,3.37370728,2.66543967,批发零售,深圳,主板
000153,丰原药业,2000-09-20,3.3202623,3.1915273,制造业,深圳,主板
000155,川能动力,2000-09-26,14.75926818,12.9692672,水电煤气,深圳,主板
000156,华数传媒,2000-09-06,18.52932442,16.24600295,信息技术,深圳,主板
000157,中联重科,2000-10-12,70.96027688,70.70510063,制造业,深圳,主板
000158,常山北明,2000-07-24,15.98616721,15.87815935,信息技术,深圳,主板
000159,国际实业,2000-09-26,4.80685993,4.80587143,批发零售,深圳,主板
000166,申万宏源,2015-01-26,225.3594456,225.35507316,金融业,深圳,主板
000301,东方盛虹,2000-05-29,66.11214278,54.9701138,制造业,深圳,主板
000333,美的集团,2013-09-18,69.66107404,68.32452243,制造业,深圳,主板
000338,潍柴动力,2007-04-30,67.83516821,49.71707516,制造业,深圳,主板
000400,许继电气,1997-04-18,10.19009309,10.08322059,制造业,深圳,主板
000401,冀东水泥,1996-06-14,26.58214783,15.47299483,制造业,深圳,主板
000402,金 融 街,1996-06-26,29.88929907,29.8769863,房地产,深圳,主板
000403,派林生物,1996-06-28,7.32744273,6.39875023,制造业,深圳,主板
000404,长虹华意,1996-06-19,6.95995979,6.93650147,制造业,深圳,主板
000407,胜利股份,1996-07-03,8.80084656,8.75766437,水电煤气,深圳,主板
000408,藏格矿业,1996-06-28,15.80435073,15.80418573,制造业,深圳,主板
000409,云鼎科技,1996-06-27,6.76350505,4.23371995,信息技术,深圳,主板
000410,沈阳机床,1996-07-18,20.64746603,16.80915944,制造业,深圳,主板
000411,英特集团,1996-07-16,5.2243406,3.20540506,批发零售,深圳,主板
000413,东旭光电,1996-09-25,53.82749947,50.29350156,制造业,深圳,主板
000415,渤海租赁,1996-07-16,61.84521282,53.9274176,商务服务,深圳,主板
000416,*ST民控,1996-07-19,5.31871494,5.31627879,金融业,深圳,主板
000417,合肥百货,1996-08-12,7.798842,7.79027451,批发零售,深圳,主板
000419,通程控股,1996-08-16,5.43582655,5.43361733,批发零售,深圳,主板
000420,吉林化纤,1996-08-02,24.58868343,24.58020643,制造业,深圳,主板
000421,南京公用,1996-08-06,5.78006934,5.72646934,水电煤气,深圳,主板
000422,湖北宜化,1996-08-15,10.57866712,10.07312141,制造业,深圳,主板
000423,东阿阿胶,1996-07-29,6.43976824,6.43975755,制造业,深圳,主板
000425,徐工机械,1996-08-28,118.16166093,81.20092284,制造业,深圳,主板
000426,兴业银锡,1996-08-28,18.37192219,14.77941112,采矿业,深圳,主板
000428,华天酒店,1996-08-08,10.18926,10.188885,住宿餐饮,深圳,主板
000429,粤高速Ａ,1998-02-20,17.42056126,13.03329906,运输仓储,深圳,主板
000430,张家界,1996-08-29,4.04817686,3.317388,公共环保,深圳,主板
000488,晨鸣纸业,2000-11-20,17.22122684,16.82834872,制造业,深圳,主板
000498,山东路桥,1997-06-09,15.60994326,14.57900081,建筑业,深圳,主板
000501,武商集团,1992-11-20,7.68992731,7.67999494,批发零售,深圳,主板
000503,国新健康,1992-11-30,9.84176136,8.98822204,信息技术,深圳,主板
000504,南华生物,1992-12-08,3.30023098,3.10668701,科研服务,深圳,主板
000505,京粮控股,1992-12-21,6.61975251,6.32380336,制造业,深圳,主板
000506,中润资源,1993-03-12,9.29017761,9.28670961,采矿业,深圳,主板
000507,珠海港,1993-03-26,9.19734895,9.02337753,运输仓储,深圳,主板
000509,华塑控股,1993-05-07,10.73128052,10.73124808,制造业,深圳,主板
000510,新金路,1993-05-07,6.09182254,5.67412232,制造业,深圳,主板
000513,丽珠集团,1993-10-28,6.15903328,5.95992594,制造业,深圳,主板
000514,渝 开 发,1993-07-12,8.43770965,8.43770965,房地产,深圳,主板
000516,国际医学,1993-08-09,22.60809518,22.13222251,卫生,深圳,主板
000517,荣安地产,1993-08-06,31.83922485,24.91986416,房地产,深圳,主板
000518,四环生物,1993-09-08,10.29556222,10.29556222,制造业,深圳,主板
000519,中兵红箭,1993-10-08,13.92558982,13.92558982,制造业,深圳,主板
000520,凤凰航运,1993-10-25,10.12083455,10.12079705,运输仓储,深圳,主板
000521,长虹美菱,1993-10-18,8.81733881,8.75312459,制造业,深圳,主板
000523,红棉股份,1993-11-08,18.35468461,15.71769727,制造业,深圳,主板
000524,岭南控股,1993-11-18,6.70208597,6.70058456,商务服务,深圳,主板
000525,ST红太阳,1993-10-28,5.80772873,5.80617168,制造业,深圳,主板
000526,学大教育,1993-11-01,1.22124709,1.17761809,教育,深圳,主板
000528,柳    工,1993-11-18,19.51212577,14.12923952,制造业,深圳,主板
000529,广弘控股,1993-11-18,5.8379033,5.69884377,制造业,深圳,主板
000530,冰山冷热,1993-12-08,6.01712507,6.00041013,制造业,深圳,主板
000531,穗恒运Ａ,1994-01-06,10.41401332,8.22099384,水电煤气,深圳,主板
000532,华金资本,1994-01-03,3.4470834,3.43549746,综合,深圳,主板
000533,顺钠股份,1994-01-03,6.90816,6.849024,制造业,深圳,主板
000534,万泽股份,1994-01-10,5.10637396,4.94578971,制造业,深圳,主板
000536,华映科技,1993-11-26,27.66032803,27.63082516,制造业,深圳,主板
000537,中绿电,1993-12-10,18.6252072,18.6251532,水电煤气,深圳,主板
000538,云南白药,1993-12-15,17.96862549,17.85176191,制造业,深圳,主板
000539,粤电力Ａ,1993-11-26,44.51875986,25.53912699,水电煤气,深圳,主板
000541,佛山照明,1993-11-23,12.45104992,10.56456198,制造业,深圳,主板
000543,皖能电力,1993-12-20,22.66863331,22.66863331,水电煤气,深圳,主板
000544,中原环保,1993-12-08,9.74684488,9.74684488,水电煤气,深圳,主板
000545,金浦钛业,1993-12-15,9.86833096,9.85403096,制造业,深圳,主板
000546,金圆股份,1993-12-15,7.78781962,7.11249152,制造业,深圳,主板
000547,航天发展,1993-11-30,15.98468269,15.88350696,制造业,深圳,主板
000548,湖南投资,1993-12-20,4.99215811,4.99188811,运输仓储,深圳,主板
000550,江铃汽车,1993-12-01,5.19214,5.1846316,制造业,深圳,主板
000551,创元科技,1994-01-06,4.03984805,4.00080405,制造业,深圳,主板
000552,甘肃能化,1994-01-06,53.51793852,29.85028559,采矿业,深圳,主板
