code,dividend,dividend_times
000001,344.52,23
000002,1031.53,31
000004,0.19,5
000005,0.2,2
000006,28.59,30
000007,0.23,4
000008,2.27,6
000009,9.3,20
000010,0.13,2
000011,20.49,15
000012,77.9,28
000014,1.41,25
000016,25.56,23
000017,0.53,3
000019,12.89,13
000020,1.03,5
000021,34.61,30
000023,1.27,20
000025,0.68,6
000026,11.81,24
000027,111.18,28
000028,21.37,21
000029,11.81,9
000030,30.53,12
000031,20.98,21
000032,6.5,27
000034,9.06,8
000035,2.39,1
000036,27.47,11
000037,13.69,13
000039,171.25,28
000040,3.19,12
000042,15.17,28
000045,1.46,8
000048,21.91,8
000049,11.85,16
000050,14.24,21
000055,12.44,18
000056,0.86,4
000058,4.05,12
000059,24.02,12
000060,38.56,25
000061,14.37,21
000062,23.3,24
000063,120.75,22
000065,5.81,19
000066,18.56,20
000068,1.69,5
000069,165.03,21
000070,2.55,11
000078,2.75,4
000088,55.43,26
000089,24.28,19
000090,42.56,23
000096,10.87,21
000099,7.01,22
000100,121.92,13
000151,9.48,19
000153,1.71,7
000155,5.44,9
000156,28.63,10
000157,237.42,25
000158,4.69,12
000159,3.94,18
000166,143.76,8
000301,37.68,19
000333,867.03,10
000338,253.17,29
000400,13.01,20
000401,58.33,19
000402,109.85,24
000403,1.76,6
000404,5.3,13
000407,2.76,12
000408,63.95,6
000409,0.44,1
000410,0.72,4
000411,1.73,5
000413,17.96,7
000415,11.5,7
000416,2.91,14
000417,14.16,25
000419,8.03,15
000420,2.3,6
000421,5.96,19
000422,7.82,17
000423,65.87,24
000425,82.61,20
000426,1.8,9
000428,3.28,11
000429,90.22,26
000430,0.32,2
000488,64.07,21
000498,8.42,6
000501,14.43,15
000503,0.4,2
000504,0.16,2
000505,0.75,3
000506,0.78,3
000507,6.54,19
000509,0.48,2
000510,1.24,5
000513,82.99,23
000514,2.75,16
000516,5.76,16
000517,23.5,13
000518,0.51,6
000519,3.47,9
000520,6.89,14
000521,7.58,17
000523,1.3,12
000524,6.45,12
000525,11.45,18
000526,0.0,0
000528,41.77,23
000529,7.34,12
000530,11.43,29
000531,21.81,25
000532,3.22,18
000533,4.01,9
000534,5.43,22
000536,15.92,8
000537,20.29,14
000538,207.56,30
000539,130.62,29
000541,54.87,30
000543,33.95,26
000544,14.11,10
000545,1.53,7
000546,4.85,6
000547,5.58,14
000548,3.06,14
000550,130.16,25
000551,4.54,15
000552,21.82,17
000553,9.23,16
000554,4.37,13
000555,3.13,10
000557,1.52,1
000558,1.07,5
000559,74.97,27
000560,5.19,14
000561,0.64,3
000563,11.09,22
000564,4.49,15
000565,1.71,17
000566,4.66,8
000567,8.91,5
000568,353.54,27
000570,6.28,18
000571,3.8,10
000572,1.53,4
000573,4.16,10
000576,2.16,6
000581,102.3,27
000582,19.43,13
000584,4.43,6
000586,0.06,1
000589,8.76,15
000590,0.97,5
000591,23.04,12
000592,0.27,1
000593,0.79,6
000595,0.0,0
000596,70.56,21
000597,2.67,6
000598,24.07,18
000599,1.75,13
000600,35.33,22
000601,19.07,24
000603,11.77,4
000605,0.52,9
000607,1.52,10
000608,1.54,7
000609,1.16,7
000610,1.1,16
000612,14.64,17
000615,1.32,6
000617,121.57,16
000619,5.01,20
000620,14.29,7
000622,0.04,1
000623,32.04,19
000625,178.06,23
000626,1.95,2
000627,17.17,14
000628,0.63,4
000629,35.78,14
000630,48.7,26
000631,29.35,12
000632,0.93,3
000633,0.16,1
000635,6.08,14
000636,13.46,21
000637,10.33,24
000638,0.0,0
000639,3.7,11
000650,14.73,13
000651,1121.57,28
000652,10.22,20
000655,4.3,11
000656,99.74,12
000657,3.35,4
000659,6.29,13
000661,19.37,13
000663,0.93,4
000665,3.33,9
000668,1.45,18
000669,2.9,6
000670,0.23,1
000672,29.67,12
000676,2.1,9
000677,0.58,5
000678,0.0,0
000679,6.0,19
000680,9.99,15
000681,1.68,10
000682,4.36,5
000683,12.73,7
000685,36.04,23
000686,29.14,16
000688,4.65,7
000690,39.34,26
000691,0.0,0
000692,0.65,4
000695,0.64,5
000697,0.5,4
000698,2.64,6
000700,12.47,23
000701,3.41,12
000702,1.64,5
000703,51.13,11
000705,1.88,16
000707,1.23,6
000708,155.19,16
000709,130.02,19
000710,0.16,1
000711,0.56,8
000712,5.54,12
000713,3.03,21
000715,4.35,21
000716,1.36,6
000717,27.72,15
000718,46.97,16
000719,22.87,12
000720,1.48,5
000721,1.16,9
000722,2.08,8
000723,19.75,8
000725,191.86,15
000726,53.58,26
000727,1.34,5
000728,89.59,21
000729,36.78,25
000731,13.74,20
000733,11.31,15
000735,1.53,8
000736,4.19,12
000737,2.14,3
000738,4.59,12
000739,16.89,19
000750,29.57,13
000751,1.12,2
000752,0.68,12
000753,2.74,11
000755,2.28,5
000756,8.27,25
000757,0.12,1
000758,9.88,21
000759,9.19,22
000761,91.76,20
000762,3.36,7
000766,2.1,1
000767,14.96,12
000768,31.78,18
000776,332.82,15
000777,4.69,20
000778,83.53,25
000779,1.62,6
000782,3.09,21
000783,121.81,17
000785,32.28,8
000786,66.9,25
000788,1.02,7
000789,34.02,18
000790,2.17,18
000791,8.94,11
000792,53.05,20
000793,7.57,17
000795,1.04,3
000796,0.98,4
000797,6.89,16
000798,2.41,13
000799,16.3,12
000800,91.15,19
000801,3.42,10
000802,1.91,13
000803,0.0,0
000807,27.39,18
000809,1.21,3
000810,10.17,15
000811,10.0,25
000812,1.9,12
000813,4.7,1
000815,0.59,6
000816,1.62,13
000818,6.07,11
000819,3.35,19
000820,0.04,1
000821,3.87,15
000822,12.74,16
000823,9.87,22
000825,125.73,23
000826,10.96,13
000828,45.1,24
000829,2.49,10
000830,89.66,14
000831,2.61,9
000833,4.59,15
000836,0.96,5
000837,1.54,11
000838,3.25,9
000839,25.88,19
000848,35.1,21
000850,11.7,23
000851,0.74,4
000852,8.95,15
000856,0.42,2
000858,760.13,21
000859,2.0,10
000860,12.6,23
000861,5.86,16
000862,0.93,3
000863,18.46,8
000868,1.54,6
000869,87.67,25
000875,5.12,4
000876,62.96,17
000877,77.31,18
000878,28.1,12
000880,2.3,13
000881,6.5,19
000882,6.43,14
000883,70.09,18
000885,4.83,10
000886,5.74,10
000887,22.1,19
000888,7.32,25
000889,1.54,10
000890,2.32,12
000892,0.78,2
000893,0.9,4
000895,549.33,28
000897,3.31,13
000898,227.73,22
000899,17.74,17
000900,34.61,24
000901,1.51,10
000902,20.02,11
000903,13.94,23
000905,8.1,21
000906,12.64,17
000908,1.1,4
000909,1.08,6
000910,7.49,16
000911,9.22,13
000912,15.79,12
000913,8.39,11
000915,7.59,13
000917,6.39,17
000919,18.25,24
000920,5.25,13
000921,38.59,9
000922,3.38,8
000923,5.81,9
000925,0.69,4
000926,17.36,21
000927,6.44,8
000928,15.51,11
000929,0.18,2
000930,20.06,15
000931,2.69,3
000932,81.63,14
000933,58.3,23
000935,6.72,9
000936,6.85,21
000937,140.66,24
000938,16.3,17
000948,3.86,24
000949,5.58,16
000950,6.74,9
000951,29.23,15
000952,1.32,7
000953,0.83,4
000955,0.06,1
000957,3.72,7
000958,15.99,13
000959,78.18,15
000960,12.19,16
000961,43.49,15
000962,2.91,13
000963,66.09,21
000965,2.34,10
000966,9.46,13
000967,19.24,15
000968,8.07,18
000969,8.67,17
000970,14.58,23
000971,1.1,4
000972,0.73,8
000973,7.0,16
000975,41.96,18
000976,2.63,6
000977,10.63,16
000978,4.62,16
000980,0.87,5
000981,32.82,8
000982,1.65,7
000983,180.24,24
000985,2.19,18
000987,50.82,23
000988,7.36,21
000989,38.23,22
000990,10.49,20
000993,1.54,7
000995,0.0,0
000996,0.29,4
000997,19.16,18
000998,12.26,19
000999,61.44,19
001201,1.62,2
001202,1.77,6
001203,10.5,2
001205,0.33,2
001206,2.63,5
001207,1.29,2
001208,0.96,3
001209,1.0,2
001210,1.0,2
001211,0.72,2
001212,0.66,3
001213,2.68,2
001215,0.28,2
001216,1.06,2
001217,1.33,3
001218,1.57,2
001219,1.88,6
001222,0.55,1
001223,0.0,0
001225,1.62,2
001226,1.0,3
001227,12.53,2
001228,0.62,2
001229,0.4,1
001230,0.22,1
001231,0.2,1
001234,1.07,2
001236,0.3,1
001238,0.11,1
001239,0.0,0
001255,0.21,1
001256,0.24,1
001258,0.59,1
001259,0.59,4
001260,0.6,1
001266,0.65,2
001267,2.09,8
001268,0.38,2
001269,0.69,1
001270,0.4,1
001278,0.11,1
001282,0.0,0
001283,0.25,1
001286,13.12,1
001287,1.08,1
001288,0.32,2
001289,22.14,2
001296,1.36,3
001298,0.29,1
001299,1.06,2
001300,0.15,1
001301,2.6,1
001306,0.0,0
001308,7.56,2
001309,0.15,1
001311,1.0,1
001313,0.72,2
001314,0.91,3
001316,0.5,1
001317,1.45,7
001318,0.42,1
001319,0.85,2
001322,1.78,1
001323,8.0,2
001324,0.3,1
001326,0.0,0
001328,1.03,1
001330,0.0,0
001331,0.4,1
001332,2.8,2
001333,0.64,1
001336,0.1,1
001337,0.84,1
001338,0.3,1
001339,0.1,1
001358,0.0,0
001360,0.0,0
001366,0.29,1
001367,0.0,0
001368,0.22,1
001373,0.0,0
001376,0.74,3
001378,0.0,0
001379,0.0,0
001380,0.35,1
001387,0.0,0
001696,29.63,20
001872,93.45,30
001896,4.47,7
001914,14.4,26
001965,104.45,6
001979,343.48,8
002001,119.69,20
002002,12.8,10
002003,34.82,19
002004,40.82,15
002005,2.01,3
002006,1.68,6
002007,44.25,18
002008,31.41,19
002009,1.73,16
002010,26.58,18
002011,7.4,10
002012,1.65,11
002014,22.22,19
002015,8.63,9
002016,18.6,11
002017,3.59,15
002019,10.86,14
002020,15.66,13
002021,1.32,6
002022,16.95,19
002023,3.27,10
002024,68.51,14
002025,10.87,17
002026,3.88,19
002027,209.63,11
002028,18.1,19
002029,8.83,16
002030,47.47,19
002031,3.17,16
002032,113.29,21
002033,7.96,17
002034,9.94,15
002035,16.95,18
002036,2.74,19
002037,4.78,18
002038,19.46,19
002039,11.24,17
002040,2.86,19
002041,5.38,13
002042,21.26,13
002043,17.64,16
002044,5.07,13
002045,4.99,16
002046,2.95,17
002047,3.58,9
002048,34.84,19
002049,6.69,17
002050,60.88,22
002051,29.31,16
002052,0.43,2
002053,4.58,12
002054,5.52,17
002055,1.81,12
002056,24.06,15
002057,4.98,12
002058,0.4,12
002059,2.12,11
002060,10.76,17
002061,13.7,10
002062,10.6,16
002063,6.94,16
002064,33.87,15
002065,25.05,17
002066,0.94,7
002067,2.56,6
002068,7.53,12
002069,11.46,8
002072,0.08,1
002073,2.72,10
002074,7.39,13
002075,8.66,7
002076,1.4,8
002077,1.09,7
002078,32.36,17
002079,3.12,16
002080,43.96,17
002081,38.97,16
002082,5.65,13
002083,16.38,13
002084,2.72,9
002085,32.72,15
002086,0.84,4
002087,2.28,11
002088,19.51,17
002089,2.2,9
002090,3.96,17
002091,29.25,18
002092,22.21,17
002093,1.36,12
002094,1.36,6
002095,2.16,15
002096,3.51,17
002097,5.56,12
002098,2.83,12
002099,18.69,15
002100,15.9,16
002101,6.38,11
002102,1.52,3
002103,3.09,12
002104,5.65,11
002105,4.53,13
002106,14.08,16
002107,4.79,9
002108,12.87,17
002109,6.17,10
002110,98.25,15
002111,9.51,16
002112,0.35,10
002114,0.36,1
002115,3.72,12
002116,9.53,17
002117,17.57,17
002119,1.3,12
002120,23.16,15
002121,2.18,11
002122,5.39,9
002123,1.62,5
002124,11.85,12
002125,1.48,5
002126,4.53,16
002127,10.39,9
002128,83.85,17
002129,12.87,13
002130,3.97,15
002131,3.7,10
002132,5.29,12
002133,8.91,16
002134,0.03,1
002135,4.11,16
002136,1.72,7
002137,1.17,5
002138,16.1,14
002139,6.79,15
002140,6.56,15
002141,0.38,5
002142,259.0,16
002144,3.22,15
002145,5.29,6
002146,118.37,14
002148,2.05,14
002149,4.04,9
002150,5.02,15
002151,3.33,14
002152,38.94,16
002153,7.79,15
002154,17.86,17
002155,7.95,12
002156,3.67,10
002157,28.64,11
002158,16.18,16
002159,0.27,5
002160,2.03,8
002161,1.55,10
002162,0.89,4
002163,1.41,5
002164,1.91,7
002165,4.61,14
002166,2.12,8
002167,0.3,3
002168,1.43,5
002169,4.86,13
002170,3.68,13
002171,10.75,13
002172,0.26,1
002173,0.56,2
002174,3.22,8
002175,0.7,5
002176,1.0,11
002177,1.2,8
002178,1.07,7
002179,26.87,16
002180,9.02,14
002181,5.47,18
002182,5.97,15
002183,12.29,15
002184,3.67,15
002185,6.79,13
002186,8.3,13
002187,13.11,15
002188,0.18,2
002189,2.01,13
002190,3.34,13
002191,42.08,16
002192,2.72,3
002193,0.91,12
002194,14.08,15
002195,8.34,15
002196,1.82,11
002197,1.94,10
002198,0.63,5
002199,0.57,5
002200,0.25,1
002201,0.4,10
002202,106.69,17
002203,15.82,16
002204,6.5,16
002205,0.95,12
002206,22.32,16
002207,0.49,6
002208,5.35,16
002209,0.66,13
002210,3.9,11
002211,0.44,3
002212,4.12,13
002213,0.79,10
002214,2.96,16
002215,12.62,15
002216,12.57,15
002217,6.08,11
002218,3.37,12
002219,0.7,5
002221,13.58,15
002222,7.24,16
002223,26.1,14
002224,4.09,15
002225,6.55,15
002226,12.81,12
002227,1.13,12
002228,9.49,15
002229,1.8,9
002230,21.62,15
002231,0.71,6
002232,2.04,13
002233,52.79,18
002234,4.48,4
002235,0.61,2
002236,57.46,16
002237,4.43,7
002238,18.64,15
002239,1.79,10
002240,7.1,3
002241,35.91,15
002242,79.19,18
002243,5.25,13
002244,42.02,15
002245,3.83,15
002246,3.01,15
002247,3.1,10
002248,0.51,4
002249,30.8,17
002250,9.24,15
002251,16.77,14
002252,17.12,14
002253,3.27,12
002254,22.98,13
002255,1.57,8
002256,3.1,7
002258,11.76,11
002259,0.61,5
002261,1.38,10
002262,8.9,15
002263,1.72,4
002264,1.63,6
002265,0.09,3
002266,13.01,15
002267,33.83,16
002268,3.12,15
002269,31.38,7
002270,13.08,18
002271,33.61,15
002272,1.06,5
002273,14.48,14
002274,11.37,11
002275,40.63,17
002276,5.79,12
002277,6.48,12
002278,2.98,10
002279,2.37,10
002280,3.96,8
002281,12.42,14
002282,4.08,14
002283,4.67,14
002284,4.56,10
002285,8.94,12
002286,2.73,14
002287,23.22,14
002288,0.39,6
002289,0.33,2
002290,1.68,8
002291,0.8,3
002292,3.96,7
002293,41.8,15
002294,61.01,13
002295,1.18,7
002296,2.14,8
002297,0.12,2
002298,2.12,11
002299,59.95,9
002300,13.06,14
002301,4.56,10
002302,9.39,13
002303,17.54,13
002304,423.24,14
002305,7.51,9
002306,1.89,3
002307,0.62,3
002308,7.82,8
002309,4.32,9
002310,8.12,9
002311,46.04,16
002312,5.9,7
002313,1.78,8
002314,15.02,9
002315,22.08,15
002316,0.54,7
002317,16.81,15
002318,20.85,14
002319,0.47,8
002320,13.92,14
002321,0.86,4
002322,11.89,16
002323,2.26,7
002324,5.48,14
002325,2.97,11
002326,5.21,8
002327,29.19,13
002328,7.47,15
002329,1.87,9
002330,0.96,6
002331,1.65,10
002332,13.37,13
002333,4.87,9
002334,4.72,11
002335,12.79,14
002336,6.0,3
002337,1.94,7
002338,3.16,14
002339,2.11,12
