code,name,ipo_time,ipo_amount,ipo_times
000550,江铃汽车,1993-12-01,0.0,0
000541,佛山照明,1993-11-23,10.8842,1
000429,粤高速A,1998-02-20,16.335,1
000726,鲁泰A,2000-12-25,9.5082,1
000022,深赤湾A,1993-05-05,0.0,0
000581,威孚高科,1998-09-24,28.5012,1
000539,粤电力A,1993-11-26,8.0981,1
000488,晨鸣纸业,2000-11-20,0.0,0
000761,本钢板材,1998-01-15,39.6774,1
600066,宇通客车,1997-05-08,21.8949,1
000002,万科A,1991-01-29,141.333,2
000012,南玻A,1992-02-28,13.72,1
600177,雅戈尔,1998-11-19,49.4842,1
600019,宝钢股份,2000-12-12,0.0,0
600377,宁沪高速,2001-01-16,0.0,0
600028,中国石化,2001-08-08,0.0,0
000651,格力电器,1996-11-18,43.3065,2
600507,方大特钢,2003-09-30,8.7208,1
600282,南钢股份,2000-09-19,19.5001,2
000895,双汇发展,1998-12-10,69.6768,1
000531,穗恒运A,1994-01-06,13.4607,1
600012,皖通高速,2003-01-07,0.0,0
600153,建发股份,1998-06-16,45.0896,2
600642,申能股份,1993-04-16,53.0172,3
000039,中集集团,1994-04-08,0.0,0
600104,上汽集团,1997-11-25,247.335,2
601988,中国银行,2006-07-05,610.907,2
000530,冰山冷热,1993-12-08,5.6128,1
000030,富奥股份,1993-09-29,0.0,0
000778,新兴铸管,1997-06-06,91.1495,4
601398,工商银行,2006-10-27,791.57,2
000869,张裕A,2000-10-26,0.0,0
000011,深物业A,1992-03-30,0.0,0
600548,深高速,2001-12-25,0.0,0
601939,建设银行,2007-09-25,593.4432,2
600900,长江电力,2003-11-18,400.687,2
600350,山东高速,2002-03-18,0.0,0
000026,飞亚达,1993-06-03,10.6569,2
600188,兖矿能源,1998-07-01,0.0,0
000709,河钢股份,1997-04-16,159.328,1
000625,长安汽车,1997-06-10,114.1535,3
000937,冀中能源,1999-09-09,30.9075,1
002003,伟星股份,2004-06-25,20.8321,5
601328,交通银行,2007-05-15,714.174,3
600479,千金药业,2004-03-12,4.9147,1
601006,大秦铁路,2006-08-01,309.533,2
600033,福建高速,2001-02-09,22.013,1
000989,九芝堂,2000-06-28,0.0,0
600741,华域汽车,1996-08-26,89.1387,1
000513,丽珠集团,1993-10-28,14.203,1
601288,农业银行,2010-07-15,1675.472,2
600395,盘江股份,2001-05-31,34.8625,1
601088,中国神华,2007-10-09,659.884,1
600971,恒源煤电,2004-08-17,15.3197,1
000828,东莞控股,1997-06-17,0.0,0
000027,深圳能源,1993-09-03,75.689,1
001914,招商积余,1994-09-28,6.3273,1
600660,福耀玻璃,1993-06-10,0.0,0
600210,紫江企业,1999-08-24,2.0351,1
002014,永新股份,2004-07-08,5.9991,2
600011,华能国际,2001-12-06,114.9433,2
000848,承德露露,1997-11-13,0.0,0
000568,泸州老窖,1994-05-09,33.0973,2
600729,重庆百货,1996-07-02,5.9643,1
000043,中航善达,1994-09-28,6.3273,1
600863,内蒙华电,1994-05-20,45.6203,1
600015,华夏银行,2003-09-12,687.1274,4
600808,马钢股份,1994-01-06,0.0,0
000559,万向钱潮,1994-01-10,46.3187,2
600585,海螺水泥,2002-02-07,112.821,1
000900,现代投资,1999-01-28,0.0,0
000418,小天鹅A,1997-03-28,0.0,0
000959,首钢股份,1999-12-16,10.6773,2
600327,大东方,2002-06-25,4.0109,1
600697,欧亚集团,1993-12-06,0.0,0
600269,赣粤高速,2000-05-18,0.0,0
600578,京能电力,2002-05-10,61.9667,3
601818,光大银行,2010-08-18,213.21,1
600016,民生银行,2000-12-19,181.5,1
000898,鞍钢股份,1997-12-25,169.95,1
600688,上海石化,1993-11-08,0.0,0
600859,王府井,1994-05-06,84.8949,3
600000,浦发银行,1999-11-10,747.508,4
600170,上海建工,1998-06-23,51.9466,2
600835,上海机电,1994-02-24,0.0,0
000088,盐田港,1997-07-28,11.8262,1
600690,海尔智家,1993-11-19,32.1473,1
600036,招商银行,2002-04-09,451.245,2
600694,大商股份,1993-11-22,0.0,0
600064,南京高科,1997-05-06,0.0,0
600035,楚天高速,2004-03-10,3.9941,1
600383,金地集团,2001-04-12,85.5398,2
600183,生益科技,1998-10-28,12.3755,1
601009,南京银行,2007-07-19,310.215,4
000016,深康佳A,1992-03-27,0.0,0
601169,北京银行,2007-09-19,469.201,3
600295,鄂尔多斯,2001-04-26,4.996,1
601166,兴业银行,2007-02-05,828.396,4
600398,海澜之家,2000-12-28,0.0,0
600123,兰花科创,1998-12-17,4.3162,1
000157,中联重科,2000-10-12,106.2512,2
600500,中化国际,2000-03-01,86.727,2
600236,桂冠电力,2000-03-23,0.0,0
600376,首开股份,2001-03-12,144.657,3
600761,安徽合力,1996-10-09,5.2131,1
601998,中信银行,2007-04-27,424.396,3
600650,锦江在线,1993-06-07,0.0,0
600096,云天化,1997-07-09,52.6333,3
600533,栖霞建设,2002-03-28,16.0392,2
000825,太钢不锈,1998-10-21,34.4425,1
600261,阳光照明,2000-07-20,8.991,1
600755,厦门国贸,1996-10-03,30.7952,3
600801,华新水泥,1994-01-03,37.4974,2
000916,华北高速,1999-09-27,0.0,0
002242,九阳股份,2008-05-28,14.5831,1
600987,航民股份,2004-08-09,0.0,0
600664,哈药股份,1993-06-29,0.0,0
000402,金融街,1996-06-26,94.0078,2
600598,北大荒,2002-03-29,0.0,0
000543,皖能电力,1993-12-20,16.6245,1
000006,深振业A,1992-04-27,0.0,0
600005,武钢股份,1999-08-03,82.7308,1
600008,首创环保,2000-04-27,84.1726,3
600873,梅花生物,1995-02-17,24.5295,1
600649,城投控股,1993-05-18,0.0,0
600717,天津港,1996-06-14,0.0,0
600828,茂业商业,1994-02-24,0.0,0
600612,老凤祥,1992-08-14,0.0,0
000037,深南电A,1994-07-01,0.0,0
600098,广州发展,1997-07-18,95.7292,2
600886,国投电力,1996-01-18,162.9963,5
000528,柳工,1993-11-18,29.6661,1
000090,天健集团,1999-07-21,26.7342,2
000527,美的电器,1993-11-12,72.133,2
000830,鲁西化工,1998-08-07,59.9047,3
600510,黑牡丹,2002-06-18,15.713,1
002110,三钢闽光,2007-01-26,5.739,1
600325,华发股份,2004-02-25,117.729,3
600481,双良节能,2003-04-22,43.2877,2
600027,华电国际,2005-02-03,156.4426,4
601566,九牧王,2011-05-30,25.5305,1
600795,国电电力,1997-03-18,212.9848,4
600894,广日股份,1996-03-28,6.7143,1
600897,厦门空港,1996-05-31,0.0,0
600829,人民同泰,1994-02-24,0.0,0
000983,山西焦煤,2000-07-26,43.7122,1
601857,中国石油,2007-11-05,662.433,1
600348,华阳股份,2003-08-21,0.0,0
600309,万华化学,2001-01-05,24.6042,1
600126,杭钢股份,1998-03-11,24.4566,1
600611,大众交通,1992-08-07,0.0,0
000933,神火股份,1999-08-31,38.2115,2
600655,豫园股份,1992-09-02,0.0,0
000024,招商地产,1993-06-07,80.6939,2
600007,中国国贸,1999-03-12,12.0826,1
600704,物产中大,1996-06-06,78.9037,3
600782,新钢股份,1996-12-25,36.8521,2
600820,隧道股份,1994-01-28,11.3162,1
000789,万年青,1997-09-23,3.4654,2
000919,金陵药业,1999-11-18,0.0,0
600018,上港集团,2000-07-19,17.1979,1
600663,陆家嘴,1993-06-28,0.0,0
600750,江中药业,1996-09-23,5.3309,1
600997,开滦股份,2004-06-02,25.1795,2
000690,宝新能源,1997-01-28,39.522,2
600754,锦江酒店,1996-10-11,125.1309,3
002394,联发股份,2010-04-23,11.5396,1
601158,重庆水务,2010-03-29,34.0206,1
600865,百大集团,1994-08-09,0.0,0
600665,天地源,1993-07-09,0.0,0
600197,伊力特,1999-09-16,0.0,0
600317,营口港,2002-01-31,0.0,0
600742,一汽富维,1996-08-26,6.2311,1
000903,云内动力,1999-04-15,28.6244,4
600508,上海能源,2001-08-29,0.0,0
600563,法拉电子,2002-12-10,0.0,0
600483,福能股份,2004-05-31,26.8134,1
600985,淮北矿业,2004-04-28,9.0398,2
000708,中信特钢,1997-03-26,0.0,0
600841,动力新科,1994-03-11,27.9913,2
600887,伊利股份,1996-03-12,170.4096,2
600020,中原高速,2003-08-08,0.0,0
600266,城建发展,1999-02-03,49.8982,2
600790,轻纺城,1997-02-28,0.0,0
000717,中南股份,1997-05-08,14.9378,1
600810,神马股份,1994-01-06,5.873,1
000517,荣安地产,1993-08-06,0.0,0
000700,模塑科技,1997-02-28,6.0,1
600461,洪城环境,2004-06-01,28.3242,4
000596,古井贡酒,1996-09-27,61.8184,2
600196,复星医药,1998-08-07,73.6684,3
600814,杭州解百,1994-01-14,0.0,0
600160,巨化股份,1998-06-26,63.9753,3
000987,越秀资本,2000-07-18,104.5448,2
600681,百川能源,1993-10-18,8.6657,1
600596,新安股份,2001-09-06,30.4091,3
002001,新和成,2004-06-25,59.6154,2
600004,白云机场,2003-04-28,33.9434,2
000731,四川美丰,1997-06-17,0.0,0
600639,浦东金桥,1993-03-26,27.0547,1
601601,中国太保,2007-12-25,290.315,1
000401,冀东水泥,1996-06-14,67.6852,3
600827,百联股份,1994-02-04,9.0711,1
000055,方大集团,1996-04-15,7.9525,2
002004,华邦健康,2004-06-25,31.8125,3
600449,宁夏建材,2003-08-29,7.1454,1
000521,长虹美菱,1993-10-18,27.1868,2
600682,南京新百,1993-10-18,10.2334,3
000786,北新建材,1997-06-06,20.9418,1
002367,康力电梯,2010-03-12,17.2167,2
600641,万业企业,1993-04-07,0.0,0
000783,长江证券,1997-07-31,139.4723,3
002206,海利得,2008-01-23,19.1423,3
600051,宁波联合,1997-04-10,0.0,0
000718,苏宁环球,1997-04-08,44.4875,3
000042,中洲控股,1994-09-21,19.7682,1
001696,宗申动力,1997-03-06,14.4899,2
002032,苏泊尔,2004-08-17,7.0463,1
600273,嘉化能源,2003-06-27,22.5727,2
000019,深粮控股,1992-10-12,5.7239,1
601003,柳钢股份,2007-02-27,10.4018,1
000538,云南白药,1993-12-15,13.6398,1
600382,广东明珠,2001-01-18,19.8,1
600527,江南高纤,2003-11-27,15.137,3
600409,三友化工,2003-06-18,35.2411,3
600030,中信证券,2003-01-06,519.349,3
600626,申达股份,1993-01-07,21.5668,3
000807,云铝股份,1998-04-08,132.4725,6
600724,宁波富达,1996-07-16,0.0,0
000036,华联控股,1994-06-17,0.0,0
600970,中材国际,2005-04-12,0.0,0
600048,保利发展,2006-07-31,255.5649,4
600535,天士力,2002-08-23,28.8796,3
000417,合肥百货,1996-08-12,6.8145,1
000601,韶能股份,1996-08-30,10.2759,2
600231,凌钢股份,2000-05-11,19.8878,1
600189,泉阳泉,1998-10-07,4.1571,1
600600,青岛啤酒,1993-08-27,0.0,0
000069,华侨城A,1997-09-10,57.2718,1
600162,香江控股,1998-06-09,46.8995,2
002128,露天煤业,2007-04-18,37.1305,3
000423,东阿阿胶,1996-07-29,0.0,0
000912,泸天化,1999-06-03,0.0,0
002146,荣盛发展,2007-08-08,70.0737,3
600310,广西能源,2001-02-28,11.4596,2
600323,瀚蓝环境,2000-12-25,13.2279,2
002233,塔牌集团,2008-05-16,39.2512,2
600308,华泰股份,2000-09-28,12.2859,1
000679,大连友谊,1997-01-24,0.0,0
600606,绿地控股,1992-03-27,0.0,0
600668,尖峰集团,1993-07-28,0.0,0
600373,中文传媒,2002-03-04,21.1849,2
000800,一汽解放,1997-06-18,0.0,0
002035,华帝股份,2004-09-01,1.0045,1
601318,中国平安,2007-03-01,382.219,1
002372,伟星新材,2010-03-18,10.9127,1
600720,中交设计,1996-07-16,14.3836,2
600812,华北制药,1994-01-14,40.872,2
600819,耀皮玻璃,1994-01-28,9.786,1
000631,顺发恒业,1996-11-22,15.867,1
600057,厦门象屿,1997-06-04,48.9209,3
600528,中铁工业,2001-05-28,73.8452,2
600622,光大嘉宝,1992-12-03,23.2972,2
600675,中华企业,1993-09-24,19.6892,1
000028,国药一致,1993-08-09,21.9689,2
600006,东风汽车,1999-07-27,0.0,0
600232,金鹰股份,2000-06-02,0.0,0
600597,光明乳业,2002-08-28,33.0992,2
600674,川投能源,1993-09-24,22.6599,2
600089,特变电工,1997-06-18,120.9845,4
000776,广发证券,1997-06-11,119.999,1
002563,森马服饰,2011-03-11,45.3081,1
600798,宁波海运,1997-04-23,6.0805,1
601877,正泰电器,2010-01-21,67.8139,2
600021,上海电力,2003-10-29,25.6419,2
600106,重庆路桥,1997-06-18,0.0,0
601668,中国建筑,2009-07-29,492.196,1
600388,龙净环保,2000-12-29,6.1669,1
600056,中国医药,1997-05-15,17.3863,2
600809,山西汾酒,1994-01-06,0.0,0
600368,五洲交通,2000-12-21,0.0,0
600743,华远地产,1996-09-09,17.4146,1
600270,外运发展,2000-12-28,0.0,0
600475,华光环能,2003-07-21,1.9843,1
601369,陕鼓动力,2010-04-28,16.1766,1
000656,金科股份,1996-11-28,66.1442,2
600519,贵州茅台,2001-08-27,0.0,0
000932,华菱钢铁,1999-08-03,15.3549,1
600362,江西铜业,2002-01-11,39.5017,1
600418,江淮汽车,2001-08-24,72.7945,3
600846,同济科技,1994-03-11,4.8011,1
002561,徐家汇,2011-03-03,10.3282,1
000685,中山公用,1997-01-23,8.5675,1
600168,武汉控股,1998-04-27,7.4905,1
603328,依顿电子,2014-07-01,13.0757,1
000551,创元科技,1994-01-06,3.4383,1
600023,浙能电力,2013-12-19,0.0,0
000792,盐湖股份,1997-09-04,48.4981,1
600120,浙江东方,1997-12-01,23.4666,1
600676,交运股份,1993-09-28,21.1378,2
600823,ST世茂,1994-02-04,14.8312,1
600854,春兰股份,1994-04-25,0.0,0
600284,浦东建设,2004-03-16,25.6868,2
600738,丽尚国潮,1996-08-02,3.9235,1
601899,紫金矿业,2008-04-25,222.5131,3
000637,ST实华,1996-11-14,0.0,0
600546,山煤国际,2003-07-31,53.9048,1
600662,外服控股,1993-06-14,9.3174,1
000858,五粮液,1998-04-27,18.1503,1
600143,金发科技,2004-06-23,46.1514,3
600068,葛洲坝,1997-05-26,60.0435,2
600176,中国巨石,1999-04-22,47.4345,1
600569,安阳钢铁,2001-08-20,16.1328,1
000811,冰轮环境,1998-05-28,0.8962,1
000728,国元证券,1997-06-16,191.7332,3
600271,航天信息,2003-07-11,0.0,0
600114,东睦股份,2004-05-11,11.4995,2
600683,京投发展,1993-10-25,7.7077,1
000151,中成股份,2000-09-06,2.4346,1
600132,重庆啤酒,1997-10-30,0.0,0
601991,大唐发电,2006-12-20,215.174,4
000899,赣能股份,1997-11-26,21.5051,1
600619,海立股份,1992-11-16,24.2915,3
600621,华鑫股份,1992-12-02,12.6016,1
600026,中远海能,2002-05-23,50.7601,1
600370,三房巷,2003-03-06,9.0534,2
600780,通宝能源,1996-12-05,0.0,0
601098,中南传媒,2010-10-28,41.23,1
000600,建投能源,1996-06-06,31.2532,2
600070,ST富润,1997-06-04,2.2884,1
600509,天富能源,2002-02-28,60.5551,4
000877,天山股份,1999-01-07,88.0328,4
600216,浙江医药,1999-10-21,12.5317,1
600352,浙江龙盛,2003-08-01,22.6328,2
000926,福星股份,1999-06-18,54.2661,4
600389,江山股份,2001-01-10,0.0,0
600982,宁波能源,2004-07-06,11.5909,1
601515,东风股份,2012-02-16,18.9298,2
002516,旷达科技,2010-12-07,21.0073,2
600285,羚锐制药,2000-10-18,6.7467,2
002043,兔宝宝,2005-05-10,9.1813,2
002117,东港股份,2007-03-02,6.1787,2
000021,深科技,1994-02-02,21.3899,2
002601,龙佰集团,2011-07-15,134.5967,3
000333,美的集团,2013-09-18,12.0354,1
002048,宁波华翔,2005-06-03,49.064,4
002419,天虹股份,2010-06-01,19.1333,1
600195,中牧股份,1999-01-07,4.659,1
600219,南山铝业,1999-12-23,106.1336,3
002085,万丰奥威,2006-11-28,21.6423,2
002300,太阳电缆,2009-10-21,6.686,1
600022,山东钢铁,2004-06-29,69.2457,2
000419,通程控股,1996-08-16,5.5765,1
001896,豫能控股,1998-01-22,35.4118,3
601229,上海银行,2016-11-16,104.504,1
000630,铜陵有色,1996-11-20,95.6224,3
002775,文科园林,2015-06-29,12.8665,2
601567,三星医疗,2011-06-15,48.5885,3
000725,京东方A,2001-01-12,895.7836,6
000911,广农糖业,1999-05-27,13.3582,3
600356,恒丰纸业,2001-04-19,2.8298,1
600708,光明地产,1996-06-06,25.8068,1
600861,北京人力,1994-05-20,15.8196,1
600736,苏州高新,1996-08-15,17.9075,2
